model,accuracy,precision,recall,f1,auc
LogisticRegression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9588744588744589
DecisionTree,0.6885245901639344,0.6153846153846154,0.8571428571428571,0.7164179104477612,0.7012987012987012
RandomForest,0.8852459016393442,0.8181818181818182,0.9642857142857143,0.8852459016393442,0.9577922077922078
SVM_RBF,0.8852459016393442,0.8620689655172413,0.8928571428571429,0.8771929824561403,0.961038961038961
